model,frozen_r2,finetune_r2,delta_r2,frozen_mse,finetune_mse,frozen_mae,finetune_mae,frozen_spearman,finetune_spearman,finetune_skipped,diverged,finetune_epochs,frozen_inference_s,frozen_train_head_s,finetune_train_head_s,frozen_peak_gpu_mem_mb,finetune_peak_gpu_mem_mb
all-MiniLM-L6-v2,0.5721968880503232,0.8274538019761137,0.25525691392579053,4.284623235770765,1.72812078417983,1.6354707143562248,1.0232568025414994,0.7494958027295101,0.9064927913294996,False,False,3,107.83714482095093,292.4903893433511,519.0754699259996,671.591796875,2619.59228515625
all-mpnet-base-v2,0.6266473250908808,0.8218916404624419,0.19524431537156106,3.739279826091946,1.783828107939064,1.527416605346873,1.043978079881069,0.7881718518389117,0.9104244725071956,False,False,3,141.32714020181447,329.31225060485303,1012.5779404174536,1586.79150390625,13804.20751953125
potion-base-8M,0.6694484662238747,0.6407564531492643,-0.028692013074610334,3.310608882161316,3.5979711347177563,1.4293807326396768,1.496173397125387,0.8128743502945442,0.7955742029229825,True,False,18,31.343849398195744,285.91801750008017,92.55305237043648,401.04345703125,401.04345703125
potion-base-32M,0.68776029004273,0.671455176499473,-0.016305113543257033,3.1272084728794933,3.2905108575464324,1.3940696511929198,1.4294699200050849,0.8256426928910151,0.8172534499113564,True,False,23,33.66806898545474,268.29304946865886,118.84073651768269,785.08642578125,785.08642578125
deberta-v3-small,0.6477548226082209,-0.4730038336819366,-1.1207586562901575,3.527879600648034,14.752736190744326,1.4844396881833035,3.619880420557638,0.7984772406429888,0.9078351318699716,False,True,3,94.75929192826152,193.14190804306415,776.5566518688574,2538.8212890625,12022.14208984375
modernbert-base,0.6407080638153306,0.8419767339402504,0.20126867012491978,3.598455773699438,1.582667677348812,1.4993431069716352,0.974056704598874,0.7950506285322133,0.9148692539125736,False,False,3,197.7079400140792,207.46935317106545,1406.1383932260796,1812.21435546875,17061.9267578125
distilbert-base-uncased,0.6647177781177485,0.6738687024399523,0.00915092432220388,3.3579886594806476,3.2663384075668502,1.4448227890448395,1.4637696562948814,0.8119626751088217,0.8908045371775104,False,False,3,83.12952997442335,171.6065786741674,535.5273866169155,1493.94287109375,5410.18701171875
roberta-base,0.6841060947743516,-0.1177796916469067,-0.8018857864212583,3.163806733896304,11.195021040114332,1.405013972630211,3.132491097173818,0.8256068438200279,0.9219329210046062,False,True,3,96.42385422810912,170.36231005750597,858.5392678482458,1714.08447265625,10416.365234375
deberta-v3-base,0.4522923573449838,-0.4895541634713964,-0.9418465208163802,5.4855161792393945,14.918494516466671,1.859327711496893,3.628084104076956,0.6677450256158435,0.906121704483339,False,True,3,167.36323063913733,167.94738050736487,1338.4434174411,2910.2998046875,22229.41064453125
electra-base-discriminator,0.6893240367673521,0.1504312348833441,-0.538892801884008,3.1115469095013286,8.508778851127406,1.3922261547569967,2.660698229253883,0.8244764691434782,0.9154884004449786,False,False,3,100.77921450138092,254.42813575360924,885.9183649448678,1656.18310546875,10224.74609375
albert-base-v2,0.667378981715312,0.8219050700429578,0.1545260883276458,3.331335616408397,1.7836936051944186,1.4413871980380135,1.0437059168719618,0.8126031321657161,0.9023177287787836,False,False,3,158.28235798049718,134.4855840280652,1155.0033038696274,1597.4541015625,14756.681640625
e5-base-v2,0.7095050392850111,0.5984939639918208,-0.11101107529319032,2.9094259106281792,4.021247258681047,1.34133560252095,1.7393514892862765,0.8366512289837802,0.92971692293662,False,False,3,104.2370828045532,229.1878046747297,900.4023799384013,1662.6171875,10307.83984375
bge-base-en-v1.5,0.6249718369084175,0.5404345925111129,-0.08453724439730459,3.7560605258982775,4.6027356236599095,1.532539981357166,1.8158663255398848,0.7893587710945524,0.9029783736011362,False,False,3,101.17088529560716,193.5234845466912,885.2251790426672,1658.43603515625,10229.251953125
modernbert-embed-base,0.673046052484418,0.8471609800869944,0.1741149276025764,3.274577583524044,1.5307453306434269,1.4308278717020917,0.9642932431686516,0.8211355361711664,0.91676857912274,False,False,3,197.893048341386,241.45604599639773,1408.1184642175213,1812.21435546875,17061.9267578125
sentence-t5-base,0.6872720517460194,0.8234948158470349,0.13622276410101553,3.132098379222497,1.7677716503959242,1.3916176256340156,1.042644493059707,0.8253806639017365,0.905894042268215,False,False,3,145.3786285435781,347.95567639917135,1024.9696195609868,1622.02197265625,15305.63818359375
mxbai-embed-large-v1,0.6684219931812345,0.7111760662774178,0.04275407309618329,3.3208894297462663,2.892689891465915,1.4374160624011287,1.3787945275316802,0.8153336971713652,0.9078789133627132,False,False,3,265.3591556651518,157.54692309722304,2370.6139394529164,2831.64501953125,27369.6943359375
