model,frozen_r2,finetune_r2,delta_r2,frozen_mse,finetune_mse,frozen_mae,finetune_mae,frozen_spearman,finetune_spearman,finetune_skipped,diverged,finetune_epochs,frozen_inference_s,frozen_train_head_s,finetune_train_head_s,frozen_peak_gpu_mem_mb,finetune_peak_gpu_mem_mb
all-MiniLM-L6-v2,0.6400222290286681,0.8180785783703542,0.17805634934168613,3.605324689751596,1.8220174852082895,1.4930741424921776,1.0547836609804728,0.7930361169683772,0.8994099335029989,False,False,3,104.96487213699947,279.7373513169987,513.5528341370009,739.43359375,2622.41943359375
all-mpnet-base-v2,0.6432182440876602,0.8291711194516579,0.18595287536399774,3.573315291032585,1.7109211468855194,1.4914912375250184,1.0259130404607082,0.7976404465406157,0.9226063626009928,False,False,3,138.45506939500046,229.76030499000265,1000.0716795280024,1586.79150390625,13809.84716796875
potion-base-8M,0.7211110263296754,0.7105005786353955,-0.010610447694279879,2.7931872008651877,2.899455176630146,1.3079153277412654,1.333248707906134,0.8443624848947374,0.8389644882908673,True,False,22,29.5527924779999,231.64783337800327,119.719362369,514.123046875,512.10546875
potion-base-32M,0.7419094933970288,0.7283804652914495,-0.013529028105579322,2.584882041842225,2.7203807947951484,1.2591098626446184,1.294881215722493,0.8575351673406967,0.8484944697995983,True,False,18,32.23301748599988,259.457463378003,92.93410696499996,791.4404296875,787.4228515625
deberta-v3-small,0.6249423294736991,-0.5057485646545838,-1.130690894128283,3.756356054932291,15.080688071540768,1.534530011164824,3.623348194868605,0.7844357698057564,0.8928473038370164,False,True,3,91.70875935899676,71.41056453799683,791.4155714510016,2538.8212890625,12027.78173828125
modernbert-base,0.6877475177895633,0.7863663591187382,0.09861884132917487,3.127336392221739,2.139628338584491,1.395242168989881,1.149655878767712,0.8241277367391979,0.8966250210989246,False,False,3,196.60103568299743,256.14936677100195,1398.7503878579992,1812.21435546875,17067.56640625
distilbert-base-uncased,0.6935237316278495,0.44703601916453,-0.24648771246331952,3.069485246834996,5.538160557164561,1.379026844842651,1.9988514407642992,0.8275624567368631,0.889501556551891,False,False,3,85.36524242899759,204.59028501400095,551.3357302240038,1493.94287109375,5415.82666015625
roberta-base,0.698373227010561,0.4098060968720433,-0.28856713013851776,3.020915566021237,5.9110334645011795,1.3713240337020445,2.159035118886459,0.8326069271719757,0.9198105874566532,False,False,3,94.7777142770028,221.7964067489993,854.5460698999959,1714.08447265625,10422.0048828125
deberta-v3-base,0.49182829046253,-1.3162270055009588,-1.8080552959634888,5.089547629802466,23.19796132819283,1.7901789416588862,4.615894583048566,0.6936859025704087,0.9113925436571706,False,True,3,167.71088667200092,188.5743723710002,1331.6478494750045,2910.2998046875,22235.05029296875
electra-base-discriminator,0.6976039154751297,-0.0849305134569131,-0.7825344289320428,3.0286205358734506,10.8660230776933,1.3728740804377588,3.0491116098127677,0.8291304336888566,0.911420009168119,False,True,3,99.15861177600164,193.35152412400203,880.6907857689948,1656.18310546875,10230.3857421875
albert-base-v2,0.6919299013167086,0.8143533078677982,0.12242340655108963,3.0854481096432345,1.859327593781461,1.3826773513074475,1.0624195813933237,0.8264295871086405,0.9033742032540034,False,False,3,156.89156149799965,155.8504670759976,1144.737418933997,1597.4541015625,14762.3212890625
e5-base-v2,0.7433304480634172,0.4927446357058079,-0.2505858123576093,2.5706505993619735,5.080370057195658,1.2574279523604943,1.9222825717591616,0.8561256786384472,0.9002314881046681,False,False,3,100.80066169400015,269.1230969290009,894.2517839869979,1662.6171875,10313.4794921875
bge-base-en-v1.5,0.7214831657158021,0.5652882378630943,-0.15619492785270772,2.7894600726227656,4.353816194618374,1.3099542848895949,1.748895182436158,0.8446484289496404,0.9016503151427424,False,False,3,98.91940388900184,217.89194665099785,882.5759169999947,1658.43603515625,10234.8916015625
modernbert-embed-base,0.7450371302018721,0.8544328584806326,0.10939572827876043,2.553557479320904,1.4579144926649814,1.2594250797688566,0.9425192085179608,0.8598819615490852,0.9217354312943472,False,False,3,197.46215175200268,310.28435101599825,1399.6851069019976,1812.21435546875,17067.56640625
sentence-t5-base,0.6901201587185554,0.813165696614683,0.1230455378961276,3.1035734223635485,1.8712220064868064,1.3851934281464255,1.0732030072231489,0.8268956797893506,0.8994922178593111,False,False,3,141.78549166200173,191.01981836399864,1028.0986897339972,1622.02197265625,15310.14990234375
mxbai-embed-large-v1,0.7494156425390237,0.7882256704416832,0.03881002790265953,2.5097048864485196,2.1210065748004094,1.2431870153245186,1.179071602626392,0.8606205891962612,0.9311954585209912,False,False,3,265.38944059500136,247.25185522099855,2354.8334793359973,2831.64501953125,27377.208984375
