"model","dataset","strategy","mse","mae","r2","spearman","prepare_model_s","prepare_data_s","inference_s","train_head_s","eval_s","peak_gpu_mem_mb","epochs_run","embedding_dim","head_type","head_repeats"
"all-MiniLM-L6-v2","wine_reviews","finetune","1.3318409852158868","0.8851401759748034","0.8670208121589986","0.9285039894789447","16.196892169304192","50.53228497412056","0","1250.393233038485","19.614295480772853","2949.71435546875","10","384","mlp","1"
"all-mpnet-base-v2","wine_reviews","finetune","1.0569249929457296","0.7555277890553558","0.8944701141270279","0.9458677815120566","2.9041974944993854","25.49894235190004","0","3189.7841460742056","28.998666286468506","14464.44677734375","10","768","mlp","1"
"potion-base-8M","wine_reviews","finetune","3.345219466049443","1.4362587659123578","0.6659927328538733","0.8106446898353998","0.21289712190628052","25.352617159485817","25.291080728173256","29.771928265690804","0.012772404588758945","401.873046875","11","256","mlp","1"
"potion-base-32M","wine_reviews","finetune","3.202616418688974","1.4093733920434153","0.6802310973674666","0.8214478566161898","0.38832909520715475","25.331801127642393","27.96007261518389","41.2192536694929","0.013316218741238117","785.08642578125","15","512","mlp","1"
"deberta-v3-small","wine_reviews","finetune","2.665099522773813","1.3104244479402112","0.733900087181613","0.9199913341627984","3.3393664536997676","25.5275066960603","0","1470.1831948384643","25.6061502257362","12682.38134765625","6","768","mlp","1"
"modernbert-base","wine_reviews","finetune","0.9134597010096803","0.5313217421921237","0.908794570437355","0.9499006805609772","1.1548489527776837","25.36136302538216","0","4509.427832996473","45.86925488896668","17722.166015625","10","768","mlp","1"
"distilbert-base-uncased","wine_reviews","finetune","1.0699150243307742","0.7416825132807442","0.8931731095725898","0.944114160134076","1.1516233077272773","25.41834131255746","0","1691.4998316029087","20.563566799275577","6070.42626953125","10","768","mlp","1"
"roberta-base","wine_reviews","finetune","1.2028546609067245","0.8258951500526844","0.8798995993713083","0.9422794316519764","1.1102719996124506","25.37363049760461","0","2744.9016147507355","26.408901788294315","11076.6044921875","10","768","mlp","1"
"deberta-v3-base","wine_reviews","finetune","14.40758416421123","3.520360560201677","-0.43854173446773737","0.9013008554201183","3.428801216185093","25.619793692603707","0","2158.0767361102626","40.70288335066289","22889.64990234375","5","768","mlp","1"
"electra-base-discriminator","wine_reviews","finetune","4.5246144686064325","1.9242625991985065","0.5482346886693855","0.9455446853623337","1.8955031419172883","25.418822321109474","0","2830.1792630869895","29.25620799139142","10884.9853515625","10","768","mlp","1"
"albert-base-v2","wine_reviews","finetune","2.157178927869206","1.158712312021366","0.7846140004399473","0.8900801801665438","1.0308364713564515","25.513911393471062","0","1495.1659861709923","37.65321085695177","15416.9208984375","4","768","mlp","1"
"e5-base-v2","wine_reviews","finetune","1.2414006760878045","0.8399269766844986","0.8760509283586378","0.9421082309118401","1.1687514651566744","25.353721952065825","0","2604.0544435344636","29.73132634535432","10968.0791015625","9","768","mlp","1"
"bge-base-en-v1.5","wine_reviews","finetune","1.2430197836914545","0.8462702393886153","0.8758892667064206","0.9412995101892176","1.6823962396010756","25.288566894829273","0","2559.128792614676","29.156171047128737","10889.4912109375","9","768","mlp","1"
"modernbert-embed-base","wine_reviews","finetune","0.9844258071161777","0.6351828148127328","0.9017088783321893","0.9468809536722006","1.335019745863974","25.092122178524733","0","4511.4362712027505","45.93204157240689","17722.166015625","10","768","mlp","1"
"sentence-t5-base","wine_reviews","finetune","1.4844871840085367","0.9497751655007574","0.851779677693406","0.9197746446861784","7.582865143194795","25.99749273248017","0","3232.8641006192192","28.388057974167168","15965.50146484375","10","768","mlp","1"
"mxbai-embed-large-v1","wine_reviews","finetune","0.9077808732463922","0.659641597561281","0.9093615794964197","0.9528657328330029","3.5732792457565665","25.331503172405064","0","7697.340999972075","61.74986207485199","28250.01171875","10","1024","mlp","1"
