dataset,tiny_fz_vs_full_fz,tiny_fz_vs_full_ft,tiny_ft_vs_full_ft,tiny_fz_vs_tiny_ft,full_fz_vs_full_ft,tiny_regret_at_1,full_regret_at_1
wine,0.8794117647058824,0.14411764705882352,0.6235294117647059,0.4941176470588235,0.20294117647058824,0.0120804243777723,0.10016516148272799
housing,0.3411764705882353,0.3147058823529411,0.5588235294117647,0.38823529411764707,-0.044117647058823525,0.0467520879787161,0.0131106764673742
