dataset,n_models,fz_r2_mean,fz_r2_min,fz_r2_max,ft_r2_mean,ft_r2_min,ft_r2_max,ft_band_trainable,ft_sigma_between,ft_pred_spearman_mean,n_diverged,top1_frozen,top1_finetune,regret_at_1
wine_full,16,0.7338589518410458,0.5334361830290861,0.7927278295638289,0.8835437327695836,0.7473710699177853,0.9176125955083408,0.04594749782729968,0.013153195167061116,0.9474638531724164,0,potion-base-32M,modernbert-embed-base,0.10016516148272799
wine_tiny,16,0.5753902117336118,0.3160377929681411,0.6762628991939422,0.6785573613185739,0.391979188686576,0.7418879552731215,0.34990876658654546,0.08861826971093378,0.8304562629205365,0,modernbert-embed-base,all-mpnet-base-v2,0.0120804243777723
housing_full,16,0.014322370892262223,-8.95790235935e-05,0.0226409383458652,0.02174875673623987,-6.641356617986816e-07,0.0306532653519626,0.0306539294876244,0.008934253371700316,0.6536854292579157,1,roberta-base,deberta-v3-small,0.0131106764673742
housing_tiny,16,0.07957208438793902,0.0351418747970366,0.139059049287972,0.1809323540535488,0.0100176333475553,0.2563494966540122,0.2463318633064569,0.06143176001428229,0.6263639974653897,0,mxbai-embed-large-v1,modernbert-base,0.0467520879787161
