"model","dataset","strategy","mse","mae","r2","spearman","prepare_model_s","prepare_data_s","inference_s","train_head_s","eval_s","peak_gpu_mem_mb","epochs_run","embedding_dim","head_type","head_repeats"
"all-MiniLM-L6-v2","wine_reviews","finetune","1.299737801858274","0.8627588665881537","0.8702261912525953","0.9305249864060906","3.0649285439867526","24.87030757695902","0","1581.5380127859535","20.960325986961834","2620.53466796875","10","384","mlp","1"
"all-mpnet-base-v2","wine_reviews","finetune","1.0776702510868739","0.7638124442958188","0.8923987800790566","0.9439305356144461","3.5414622835814953","26.3194983843714","0","3349.6030105911195","30.75859721004963","13806.08740234375","10","768","mlp","1"
"potion-base-8M","wine_reviews","finetune","3.1962483730124673","1.4039704405025024","0.6808669221780832","0.8199362778537808","0.26471422892063856","24.843415763927624","31.228681207983755","73.82440807600506","0.020131491008214653","401.873046875","16","256","mlp","1"
"potion-base-32M","wine_reviews","finetune","2.7625784943372653","1.3040877707340102","0.7241671876733563","0.8463699176006619","0.39567745197564363","26.480782185681164","27.87927576713264","81.82990380376577","0.016557808965444565","785.08642578125","30","512","mlp","1"
"deberta-v3-small","wine_reviews","finetune","12.603048516281296","3.3009818885048037","-0.25836580689410127","0.9078774380066689","3.6705276680877432","24.54875799000729","0","1293.8827838900033","27.815497357980348","12024.02197265625","5","768","mlp","1"
"modernbert-base","wine_reviews","finetune","1.0011465492201777","0.7028487719458438","0.9000393766951539","0.9512604633695013","1.0722471736371517","26.715330813080072","0","4334.820343771949","45.7342218849808","17063.806640625","10","768","mlp","1"
"distilbert-base-uncased","wine_reviews","finetune","2.0245443127240415","1.1115957924772268","0.7978570554272879","0.8910630102719985","1.0663780253380537","25.830098058097064","0","654.0167637187988","20.775004032999277","5412.06689453125","4","768","mlp","1"
"roberta-base","wine_reviews","finetune","11.194491949414262","3.0714558578140574","-0.11772686398026289","0.910820736501379","1.1004761960357428","26.737847762182355","0","1333.5797275267541","26.804447534494102","10418.2451171875","5","768","mlp","1"
"deberta-v3-base","wine_reviews","finetune","16.25191170025793","3.8521603730122056","-0.622690728663565","0.9267092631803029","3.917819958063774","24.579736475949176","0","3542.8589358240133","44.15127694699913","22231.29052734375","8","768","mlp","1"
"electra-base-discriminator","wine_reviews","finetune","7.9628070031123315","2.5499957488271114","0.20494441906901217","0.9139063137546722","1.769239442422986","26.679539050906897","0","1659.0101305507123","29.88620403315872","10226.6259765625","6","768","mlp","1"
"albert-base-v2","wine_reviews","finetune","1.2706414268774324","0.8237585674538545","0.8731313521216628","0.9345760314081825","0.9403473623096943","25.888191306963563","0","3858.17037372943","45.2911767186597","14758.5615234375","10","768","mlp","1"
"e5-base-v2","wine_reviews","finetune","2.9729943394682987","1.4467781954892447","0.7031579767352598","0.9341912507365855","0.9416584745049477","26.885365989990532","0","1964.938515342772","30.292614065110683","10309.7197265625","7","768","mlp","1"
"bge-base-en-v1.5","wine_reviews","finetune","3.8185573128273904","1.6138921811580191","0.6187317736720708","0.9020792670327936","0.9633641792461276","25.73227357957512","0","1088.840521321632","29.05760715622455","10231.1318359375","4","768","mlp","1"
"modernbert-embed-base","wine_reviews","finetune","0.8721902250434053","0.6274829236493641","0.9129151685099015","0.9531662546858622","1.2939100470393896","24.850193311925977","0","4659.153082479024","48.92488630290609","17063.806640625","10","768","mlp","1"
"sentence-t5-base","wine_reviews","finetune","1.3372130490265512","0.8939839806469025","0.8664844322979626","0.9298804720377493","3.9766140785068274","26.141350344754755","0","3093.2795509090647","28.13837550394237","15307.14208984375","10","768","mlp","1"
"mxbai-embed-large-v1","wine_reviews","finetune","1.9554073888164762","1.133573078293966","0.8047601107417801","0.9383330943758262","3.3873490998521447","26.941901777870953","0","6014.301352043636","62.64650620240718","27372.19921875","8","1024","mlp","1"
