"model","dataset","strategy","mse","mae","r2","spearman","prepare_model_s","prepare_data_s","inference_s","train_head_s","eval_s","peak_gpu_mem_mb","epochs_run","embedding_dim","head_type","head_repeats"
"all-MiniLM-L6-v2","wine_reviews","finetune","1.3394428080085494","0.886948382539787","0.8662617994598094","0.9285278818754144","42.75503565114923","50.649070389103144","0","1716.0576119790785","22.215793603798375","2949.71435546875","10","384","mlp","1"
"all-mpnet-base-v2","wine_reviews","finetune","1.11535055762519","0.7881739310453028","0.8886365467368735","0.9427549014190725","3.198249304899946","25.349230449879542","0","3503.032563625835","30.750269565032795","14464.44677734375","10","768","mlp","1"
"potion-base-8M","wine_reviews","finetune","3.0898069759319124","1.3798273418952944","0.6914946853221491","0.826005218055834","0.2833782241214067","25.09125189902261","30.22335342084989","82.73643868486397","0.020923902047798038","401.873046875","16","256","mlp","1"
"potion-base-32M","wine_reviews","finetune","3.053790045242293","1.3736574337937002","0.6950908369985107","0.8283381689170563","0.420492990873754","25.210898007033393","32.94618969014846","107.75037738517858","0.018395480001345277","785.08642578125","20","512","mlp","1"
"deberta-v3-small","wine_reviews","finetune","2.575658250786947","1.273088845591999","0.7428304533742045","0.8928809790272705","3.6572550740092993","25.35662021697499","0","1146.8842473370023","28.642578698927537","12682.38134765625","4","768","mlp","1"
"modernbert-base","wine_reviews","finetune","1.151627803323856","0.7587346307673003","0.8850144036104288","0.9378046503712056","1.5748742988798767","25.237249376019463","0","4885.517229211982","50.382880593882874","17722.166015625","10","768","mlp","1"
"distilbert-base-uncased","wine_reviews","finetune","1.0681451876568329","0.7410495418759685","0.8933498209413827","0.9435182899481155","1.3437039630953223","25.26724269706756","0","1935.852763907984","22.77241636905819","6070.42626953125","10","768","mlp","1"
"roberta-base","wine_reviews","finetune","1.267606937024096","0.8559536003921755","0.8734343342349088","0.9389347524671952","1.5002238769084215","25.334608817938715","0","2968.747881280957","28.850007362896577","11076.6044921875","10","768","mlp","1"
"deberta-v3-base","wine_reviews","finetune","7.459913571504265","2.381077125831645","0.25515638945298025","0.8825714603349057","4.380868982989341","25.93321002088487","0","1945.856433135923","45.201556097948924","22889.64990234375","4","768","mlp","1"
"electra-base-discriminator","wine_reviews","finetune","3.385517284724098","1.5810393910942648","0.6619691510159478","0.9359440731030413","2.0978076790925115","25.066866562934592","0","2468.8403690839186","31.71919095888734","10884.9853515625","8","768","mlp","1"
"albert-base-v2","wine_reviews","finetune","1.7299557726199712","1.028766635135584","0.8272705854546398","0.9090999830848087","1.5696078171022236","25.75679772091098","0","2075.8708792561665","43.45683385897428","15416.9208984375","5","768","mlp","1"
"e5-base-v2","wine_reviews","finetune","2.1319624854289385","1.151016568605406","0.7871317650028111","0.8999904442408775","1.195986851118505","25.32609540806152","0","1308.357768739108","32.08806776092388","10968.0791015625","4","768","mlp","1"
"bge-base-en-v1.5","wine_reviews","finetune","1.1834984759090459","0.8078028313472513","0.8818322398210797","0.9455780248584177","2.0052134490106255","25.124525653896853","0","3051.687926850049","31.452347347978503","10889.4912109375","10","768","mlp","1"
"modernbert-embed-base","wine_reviews","finetune","1.0916021066501704","0.7394085133101813","0.8910077380113544","0.9412953905626734","2.5421599210239947","25.211393845034763","0","4920.924304508837","51.15973535692319","17722.166015625","10","768","mlp","1"
"sentence-t5-base","wine_reviews","finetune","1.4819998116348252","0.9496890720727235","0.8520280322355669","0.9204561064623611","7.380613348912448","26.164801622042432","0","3638.7887143678963","31.917857241118327","15965.50146484375","10","768","mlp","1"
"mxbai-embed-large-v1","wine_reviews","finetune","0.9681408102279458","0.6917415473658104","0.9033348724893215","0.9526991273102893","4.9158137128688395","25.175272966036573","0","8199.623203339987","65.54090171214193","28250.01171875","10","1024","mlp","1"
