"model","dataset","strategy","mse","mae","r2","spearman","prepare_model_s","prepare_data_s","inference_s","train_head_s","eval_s","peak_gpu_mem_mb","epochs_run","embedding_dim","head_type","head_repeats"
"all-MiniLM-L6-v2","wine_reviews","finetune","1.8220174852082898","1.0547836609804728","0.8180785783703542","0.8994099335029989","3.03935563900086","26.107099173997995","0","513.5528341370009","21.60911386799853","2622.41943359375","3","384","mlp","1"
"all-mpnet-base-v2","wine_reviews","finetune","1.7109211468855194","1.0259130404607082","0.8291711194516579","0.9226063626009927","3.0276660669987905","26.261787896000897","0","1000.0716795280023","30.66761481800131","13809.84716796875","3","768","mlp","1"
"potion-base-8M","wine_reviews","finetune","2.8994551766301466","1.333248707906134","0.7105005786353955","0.8389644882908673","0.29251450800074963","25.029196448998846","29.331626741000946","119.71936236900001","0.0236498220001522","512.10546875","22","256","mlp","1"
"potion-base-32M","wine_reviews","finetune","2.7203807947951484","1.294881215722493","0.7283804652914495","0.8484944697995983","0.4352406729994982","25.65362320300119","32.932127819000016","92.93410696499996","0.023884668000391684","787.4228515625","18","512","mlp","1"
"deberta-v3-small","wine_reviews","finetune","15.080688071540767","3.623348194868605","-0.5057485646545838","0.8928473038370164","3.633572450999054","25.17767907799862","0","791.4155714510016","27.913957794000453","12027.78173828125","3","768","mlp","1"
"modernbert-base","wine_reviews","finetune","2.139628338584491","1.149655878767712","0.7863663591187382","0.8966250210989246","1.257208274997538","26.070070708999992","0","1398.7503878579992","49.01021577700158","17067.56640625","3","768","mlp","1"
"distilbert-base-uncased","wine_reviews","finetune","5.538160557164561","1.9988514407642994","0.44703601916453006","0.889501556551891","1.1910094999984722","24.853736514000047","0","551.3357302240038","22.322968599000887","5415.82666015625","3","768","mlp","1"
"roberta-base","wine_reviews","finetune","5.9110334645011795","2.159035118886459","0.4098060968720433","0.9198105874566533","1.2037876829999732","25.004715734001365","0","854.5460698999959","28.060929439001484","10422.0048828125","3","768","mlp","1"
"deberta-v3-base","wine_reviews","finetune","23.19796132819283","4.615894583048566","-1.3162270055009588","0.9113925436571706","3.746048688000883","26.957457608004916","0","1331.6478494750045","44.3273652689968","22235.05029296875","3","768","mlp","1"
"electra-base-discriminator","wine_reviews","finetune","10.8660230776933","3.0491116098127677","-0.08493051345691316","0.911420009168119","2.0276273530034814","25.944712204000098","0","880.6907857689948","31.24605380000139","10230.3857421875","3","768","mlp","1"
"albert-base-v2","wine_reviews","finetune","1.859327593781461","1.0624195813933235","0.8143533078677982","0.9033742032540034","0.9901301809950382","25.771609591000015","0","1144.737418933997","42.53109202400083","14762.3212890625","3","768","mlp","1"
"e5-base-v2","wine_reviews","finetune","5.080370057195658","1.9222825717591616","0.49274463570580795","0.9002314881046681","1.045174261998909","24.789160868996987","0","894.2517839869979","31.855752493000182","10313.4794921875","3","768","mlp","1"
"bge-base-en-v1.5","wine_reviews","finetune","4.353816194618374","1.748895182436158","0.5652882378630943","0.9016503151427424","1.0748336520045996","26.07039408700075","0","882.5759169999947","31.153849678994447","10234.8916015625","3","768","mlp","1"
"modernbert-embed-base","wine_reviews","finetune","1.4579144926649814","0.9425192085179609","0.8544328584806326","0.9217354312943471","1.3022099399968283","26.32207351100078","0","1399.6851069019976","49.13611450300232","17067.56640625","3","768","mlp","1"
"sentence-t5-base","wine_reviews","finetune","1.8712220064868064","1.0732030072231487","0.813165696614683","0.8994922178593111","4.337817305997305","26.752263670001412","0","1028.0986897339972","30.003192452000803","15310.14990234375","3","768","mlp","1"
"mxbai-embed-large-v1","wine_reviews","finetune","2.1210065748004094","1.1790716026263919","0.7882256704416832","0.9311954585209911","3.3652928190058446","25.49026641600358","0","2354.8334793359973","63.884156770996924","27377.208984375","3","1024","mlp","1"
