head,n_models,best_frozen_model,best_frozen_r2,best_finetune_model,best_finetune_r2,regret_at_1,normalized_regret_at_1,budget_to_zero,regret_auc,rank_spearman,n_diverged,n_finetune_skipped
FCH,16,e5-base-v2,0.6820247371948768,modernbert-embed-base,0.8660180102421373,0.2740371224700655,0.3164335143485586,9,0.050948646992979615,0.4294117647058823,3,2
MLP_128,16,e5-base-v2,0.7095050392850111,modernbert-embed-base,0.8471609800869944,0.2486670160951736,0.2935298271995933,6,0.04502326026611171,-0.03823529411764706,3,2
MLP_256,16,potion-base-32M,0.7172630042934571,modernbert-embed-base,0.8596804550082867,0.1761869229706155,0.2049446651301584,3,0.022023365371326938,0.032352941176470584,3,2
MLP_512,16,mxbai-embed-large-v1,0.7494156425390237,modernbert-embed-base,0.8544328584806326,0.0662071880389493,0.0774867063945552,2,0.004137949252434331,0.1764705882352941,3,2
