model,FCH_frozen_r2,FCH_finetune_r2,FCH_finetune_spearman,MLP_128_frozen_r2,MLP_128_finetune_r2,MLP_128_finetune_spearman,MLP_256_frozen_r2,MLP_256_finetune_r2,MLP_256_finetune_spearman,MLP_512_frozen_r2,MLP_512_finetune_r2,MLP_512_finetune_spearman
all-mpnet-base-v2,0.1169043867328808,-0.0007361997899577,0.4142831982487605,0.6266473250908808,0.8218916404624419,0.9104244725071956,0.6267964090206568,0.8432278419928607,0.9166366976581768,0.6432182440876602,0.8291711194516579,0.9226063626009928
deberta-v3-base,0.3965161468075789,-0.3981059185793685,0.8727042984569848,0.4522923573449838,-0.4895541634713964,0.906121704483339,0.4880383607228804,-0.7110977901682498,0.9145807314859976,0.49182829046253,-1.3162270055009588,0.9113925436571706
deberta-v3-small,0.6189411105684373,-0.0295674081042549,0.8886450162759473,0.6477548226082209,-0.4730038336819366,0.9078351318699716,0.6489288432584203,-1.184226209007742,0.8943457613246484,0.6249423294736991,-0.5057485646545838,0.8928473038370164
electra-base-discriminator,0.661140629817333,0.2456618731372117,0.903777020808749,0.6893240367673521,0.1504312348833441,0.9154884004449786,0.6942794322797695,-0.0289387717909765,0.8869591673337017,0.6976039154751297,-0.0849305134569131,0.911420009168119
roberta-base,0.6723859519928674,0.4782362708385094,0.894739941883114,0.6841060947743516,-0.1177796916469067,0.9219329210046062,0.6943486123303485,0.1261241432128729,0.8952886037818797,0.698373227010561,0.4098060968720433,0.9198105874566532
