"budget","regret","normalized_regret"
"1","0.2486670160951736","0.29352982719959336"
"2","0.2486670160951736","0.29352982719959336"
"3","0.17570580358752141","0.2074054491620687"
"4","0.023666164239959486","0.027935852566685997"
"5","0.023666164239959486","0.027935852566685997"
"6","0","0"
"7","0","0"
"8","0","0"
"9","0","0"
"10","0","0"
"11","0","0"
"12","0","0"
"13","0","0"
"14","0","0"
"15","0","0"
"16","0","0"
